index,title,house_price,house_info,adv,disadv,core_point,comm_name,url
0,业主是我老客户，跟我定好一手房，急需首付，急售，随时看房,350.0,"所属小区：
翔顺公寓
房屋户型：
2室 2厅 1卫
房屋单价：
48611 元/m²
所在位置：
杨浦区－ 黄兴－ 国顺东路26弄

建筑面积：
72平方米
参考首付：
105.1万
建造年代：
1998年
房屋朝向：
南
参考月供：
13743元
房屋类型：
普通住宅
所在楼层：
中层(共6层)
装修程度：
简单装修
产权年限：
70年产权
配套电梯：
无
房本年限：
满二年
产权性质：
商品房
唯一住房：
暂无
一手房源：
否","特色
【小区户型】小区主要是以多层为主近83栋，一房朝南，50-60平。两房以双南厅朝北为主75平左右。
【生活配套】小区出门口国顺东路路有菜场，农业银行等 以附近1公里五角场商圈长海医院，万达以及太苹洋生活广场。
【轨道交通】地铁8号线翔殷路站1公里，公交1238、80、137、577、868等等，到中环高架0.3公里。
【附近学校】【附近学校】翔殷路小学，为我区重点中学输送优秀生源。鞍山实验中学和复旦实验中学是市重点中学且轮换对口","不足
距离地铁稍微远一点 车位有点紧张 绿化稍微少点","房源标签
售房详情
业主是置换的，诚意出售。看房提前约，**无要求。希望能尽量快**。
税费解析
满五税费少，产权的商品房。首套1个点契税，二套是3个点契税。

南北带大阳台，厅朝北，厨卫朝北。全明户型，采光好。一梯2户的。
核心卖点
满五，税费少。一梯2户，户型好。小区品质好，好停车。",翔顺公寓,https://shanghai.anjuke.com/prop/view/A5071614777?from=filter&spread=commsearch&invalid=1&click_url=https://lego-click.anjuke.com/jump?target=pZwY0ZnlsztdraOWUvYKuadWm1NLujE1raYdrHE1sHwBujEVrjbOniYQnH03Py76PWnOuWmKPHnkPWTLn9DKnHNkPWNLPjnkP1bOnjNYnED3njTkTH9knjTKnikQnkDzsjDYnj0KnHNOnH9kPHcdnWEQrEDQTNujsRKjsN72iSilWrpFBSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDKTiYQTEDQnWm3P191nW0QPj93njDvn19YTHmKTHDKryn3nAcdP19VP16hPzYYnhNQsH--PH9VnADdPhDdP1TkPWT1THDzPW9LrjnzP1DvnjbvPHDznjTKnHcvrj03n1cLnHEdrjmYn1bvrTDKTEDKTiYKTE7CIZwk01CfsLPCmyOMpA7Gsh78pMRouiOWUvYf0v7_uiqOmyOM0ZNf0jDfTNPKnbDYEH9QsNnkPWcVrNnvridDEYPDsHPaPH9OwjbvrNn1EEDznH98P1b8rjm8nHmkTHTKnTDKnikQnk7exEDQnjT1PEDQnjTQPWE3Tyu-nyEQnhDLsymvuyEVPjTdniYOrjEOsHNdnAmvP1uWPWmkrEDKPTDKTHnKnBkQPjTLsj0YPH9KnE78IyQ_TH0OP1RBm19kmWc3nvnLP19&uniqid=pc5ee10544dc6590.39798745&region_ids=9&position=1&kwtype=filter&now_time=1591805252
1,杨浦区低于市场的双南两房！热门小区！抢手户型中间楼层,285.0,"所属小区：
三门路510弄小区
房屋户型：
2室 1厅 1卫
房屋单价：
42607 元/m²
所在位置：
杨浦区－ 五角场北－ 三门路510弄

建筑面积：
66.9平方米
参考首付：
85.50万
建造年代：
1999年
房屋朝向：
南
参考月供：
16786元
房屋类型：
普通住宅
所在楼层：
中层(共6层)
装修程度：
精装修
产权年限：
70年产权
配套电梯：
无
房本年限：
满五年
产权性质：
商品房
唯一住房：
是
一手房源：
否","特色
【小区户型】小区栋数较多，车位较少。小区户型大多都在40-70平方左右。分别是南北户型和双南户型。
【生活配套】出小区大门就是乐购超市 100米到三门路菜市场，不管是购物还是买菜都很方便。20米就是安泰医院。
【轨道交通】小区门口就是公交车站，出小区向左700米就是三号线江湾镇站。","不足
小区房龄较老，小区车位较少。","该小区位于三门路上，属于老公房小区！
两房的主力户型为54㎡~66㎡，得房率高！
该房户型为周边比较抢手的户型，只有这一套！
并且低于市场价，总价低！",三门路510弄小区,https://shanghai.anjuke.com/prop/view/A5084124147?from=filter&spread=commsearch&invalid=1&click_url=https://lego-click.anjuke.com/jump?target=pZwY0ZnlsztdraOWUvYKuadWm1NLujE1raYdrHE1sHwBujEVrjbOniYQnH03Py76PWnOuWmKnHTkrHbvrH91TEDQPHDYnHNOnjc1PHnQnjDzTHc1njTkTHc1njTkTHD_nHnKnBkQPjTLTHDdrHD3njNzPHcYnHbKn97AEzdEEzdKibfb8C1hBmfhBs4MoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHcLnj0zPjbkrH9OnjcOn10vnTDvTEDQTHNOuHELPWnksHIWPvEVPAn1raYOmWTOsH6hrHTdPWTYrHDQnkDQnW0kP1cYrHDkPjTQrHb3rjE3THDzP1TLnWEOnHT1n1Tvrjn1rHcKTEDKTEDVTEDKpZwY0Znlszq1pA78uv66piO6UhGdpvN8mvqVsLP6UANfXy78uLKdsLTQsk7jEHFKPDD3nidjnjmzsH-jPWbVwDPjwaY1EWN3rNEOPW-jnYDKnWD3sW0OsW9vsWDvnTDkTHTKTHD_nHnKXLYKnHTkn1NKnHTknHmYrTDdryu6uWF-PBdbuHE1sHEYPj0VrH93Pzd-myFhnjK6uHF6ujmKTHEKTED1THc_nHEkPzk1PHE1nkDQTyOdUAkKnHu-nyEQrAuBnW6-PWm3nk&uniqid=pc5ee10544dc67e3.33973177&region_ids=9&position=2&kwtype=filter&now_time=1591805252
2,降价50万1梯2户楼层采光佳送装修南北全明两房,290.0,"所属小区：
腾越路465弄小区
房屋户型：
2室 1厅 1卫
房屋单价：
44650 元/m²
所在位置：
杨浦区－ 东外滩－ 腾越路465弄

建筑面积：
65平方米
参考首付：
87.00万
建造年代：
1995年
房屋朝向：
南北
参考月供：
17080元
房屋类型：
普通住宅
所在楼层：
中层(共6层)
装修程度：
精装修
产权年限：
70年产权
配套电梯：
无
房本年限：
满五年
产权性质：
商品房
唯一住房：
是
一手房源：
否","特色
【生活配套】距离欧尚超市大约300米，欧尚超市是集吃喝玩乐购于一体的大型商超，里面东西应有尽有，居民生活方便
【轨道交通】距离地铁12号线隆昌路站约500米，地铁可直达南京西路、北外滩。反方向可直达浦东新区、交通出行便利","不足
小区内车位紧张 不好停车 是先到先停的","欢迎您进入黄文斌的网上店铺
★★★★★★
一、【户型描述】
商品房源，2房1厅1卫，1间卧室朝南，1间卧室朝北，朝南主卧带阳台，使用率很高！
二、【小区详解】
房型都不错，南北户型，结构的改动性很强，所以得房率相比电梯房要高很多，住宅房物业0.8元，管理到位。小区多为总高6层的多层房，楼间距50米以上，所以采光不挡，视野也不错。",腾越路465弄小区,https://shanghai.anjuke.com/prop/view/A5082023538?from=filter&spread=commsearch&invalid=1&click_url=https://lego-click.anjuke.com/jump?target=pZwY0ZnlsztdraOWUvYKuadWm1NLujE1raYdrHE1sHwBujEVrjbOniYQnH03Py76PWnOuWmKn1Ddn1mQTEDQPHD1n1bYnWcLP1nzPj9LTHcYnWTkTHcYnWTkTHD_nHnKnBkQPjTLTHDdrHD3njNzPHcYnHbKnk7AEzdEEzdKibfb8C1hBmfhBs4MoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHcLnjNzrHTYnHDQPHEknWcYnTDvTEDQTH01m1m1uAc3sH0LnHbVPAmLnzY3uhNLsymLmH9Onjc1nH9Qm9DQnW0kPHcOnjEQnWnzrjEzP1NYTHDzP1TdnWbkPjDQrHbzP1mkn1cKTEDKTEDVTEDKpZwY0Znlszq1pA78uv66piO6UhGdpvN8mvqVsLP6UANfXy78uLKdsLTQsk7jEHFKPDD3nidjnjmzsH-jPWbVwDPjwaY1EWN3rNEOPW-jnYDKnWD3sW0OsW9vsWDvnTDkTHTKTHD_nHnKXLYKnHTkn1NKnHTknHmYrT7Wuy7-uym1nBdhmH-WsHEkuHDVrH-WuaYvryDLuWuhm19kmvNKTHEKTED1THc_nHEkPzkQnHmzPkDQTyOdUAkKmhE3mv7hP1NLmHNYPH66rT&uniqid=pc5ee10544dc6941.80092345&region_ids=9&position=3&kwtype=filter&now_time=1591805252
3,你喜欢的颜色是彩虹里的哪个，你中意的房屋会不会出现在我的店铺,298.0,"所属小区：
国和二村
房屋户型：
2室 1厅 1卫
房屋单价：
49667 元/m²
所在位置：
杨浦区－ 中原－ 国和二村1-204号

建筑面积：
60平方米
参考首付：
89.40万
建造年代：
1994年
房屋朝向：
南
参考月供：
17552元
房屋类型：
公寓
所在楼层：
中层(共6层)
装修程度：
简单装修
产权年限：
70年产权
配套电梯：
无
房本年限：
满五年
产权性质：
商品房
唯一住房：
暂无
一手房源：
否","特色
【小区户型】小区主要户型：紧俏小三房，南北两房，双南两房，朝南一房组成。
【生活配套】小区属于成熟社区，500米处有欧尚超市(餐饮娱乐服饰），600米处有大型商场，100米处有国和菜场。
【附近学校】小区内设双语幼儿园，国和小学，是重点小学，师资雄厚，入学门槛低。","不足
小区固定车位少，先到先停。","户型正气，格局方正，使用率超赞
1、客厅宽敞舒适、阳光非常充足
2、卧室搭配的很新颖，使用率非常之高
3、厨房宽敞明亮，让您和家人有足够的空间展现私家厨艺
4、小区属于社区，非常适宜居住",国和二村,https://shanghai.anjuke.com/prop/view/A2049894937?from=filter&spread=commsearch&invalid=1&click_url=https://lego-click.anjuke.com/jump?target=pZwY0ZnlsztdraOWUvYKuadWm1NLujE1raYdrHE1sHwBujEVrjbOniYQnH03Py76PWnOuWmKn1mYrHNYrTDKnHELPH91PH0OnWNOPWbOP9DznHnknTDznHnknTDQsjD1THc_nHEkPkDQPHbQrjTdnWNzPjDOTHEKwbnVNDnVENGsOsJnOChsOCB4OlvUlmaFOmBgl2AClpAdTHDKnEDKsHDKTHDzPWbkrHnLn1bQnWbLPjD1nHcKP9DKnEDLuW-WrjbOuiYLm1TvsHwhuH0VrAPWuidBnv7WuAPWnvnOnyDKnHcvrHTOn101rHn1PHcLPjEOP9DQnWmOnjb1P1nOnH0QPWbvPWEkTEDKTEDKsEDKTy6YIZK1rBtf0v66UhICmyb8myOJIyV-shPfUiq1myQ-sL-6UhIkIiqknitKEYDzEHwKrjDVE1TvnBYOE1mOsNwjEYEVnYcdrj-DrHmOE1PKTHcQra3Lri33PB3QPWTKnTDkTEDQsjD1TgVqTHDknjndTHDknjDvPj9KuHTYPyFhPhmVmWKWuBYYrHmQsH66PHnVuHwhnjbdPvnzPWnOTEDYTEDKnkDzsjDYnj0_PWcLP9DQTyOdUAkKuycYPjndmWTOPjRhPHDzmE&uniqid=pc5ee10544dc6a72.83580210&region_ids=9&position=4&kwtype=filter&now_time=1591805252
4,顶楼复式，送60平大露台，楼上不算面积，带车位,350.0,"所属小区：
开鲁五村
房屋户型：
3室 2厅 2卫
房屋单价：
42169 元/m²
所在位置：
杨浦区－ 中原－ 开鲁五村2-60,70-84号

建筑面积：
83平方米
参考首付：
105.1万
建造年代：
1996年
房屋朝向：
南
参考月供：
13743元
房屋类型：
普通住宅
所在楼层：
高层(共14层)
装修程度：
豪华装修
产权年限：
70年产权
配套电梯：
有
房本年限：
满五年
产权性质：
商住两用
唯一住房：
是
一手房源：
否","特色
【小区户型】多层一梯两户 一梯三户 一梯四户，三栋高层两梯八户，南北两房，两南一北三房，房型正气
【生活配套】殷行路500米有殷行菜场，长海医院三级甲等医院，市东医院二级甲等医院，都在一公里左右
【轨道交通】市光路地铁站离小区800米，小区门口50米55路538路124路870路公交，四通八达，出行方便
【附近学校】小世界幼儿园，开路二小，在小区内部，上学方便，非重点学校，入学门槛低，教育环境好
【居民素质】租户比小，租客少，多是本地人自住，人员流动性小，邻里关系和睦1","不足
小区没有地下车位，晚上车位相对较紧张","房源介绍：精装电梯复式带露台，3房2厅2卫采光无限好，拎包入住，小区环境优美，带产权车位。
房源优势：出门就是***生活广场休近8号线嫩江路地铁站，距离共青森林公园1公里，近五角场商业圈，空间大。
小区简介：小区刚做好美丽家园，年底规划装电梯，环境清雅干净清爽，绿化率高，租户少邻居素质高。",开鲁五村,https://shanghai.anjuke.com/prop/view/A5083264588?from=filter&spread=commsearch&invalid=1&click_url=https://lego-click.anjuke.com/jump?target=pZwY0ZnlsztdraOWUvYKuadWm1NLujE1raYdrHE1sHwBujEVrjbOniYQnH03Py76PWnOuWmKnHTQnjnzn1EkTEDQPHD1P1bknWbLnWTzPWbQTHDLrjTkTHDLrjTkTHD_nHnKnBkQPjTLTHDdrHD3njNzPHcYnHbKPE7AEzdEEzdKibfb8C1hBmfhBs4MoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHcLnjmdn1mQrj9Ln1D3njDvn9DvTEDQTyDdnh7WmycvsHNvP1DVPjcdPBdBnjbksHbLnAEzPjw-uHRbn9DQnW0kPWN1PWD3rH9vPjn3PWNvTHDzP1TvPHnvnH9OPj9vP10vn1cKTEDKTEDVTEDKpZwY0Znlszq1pA78uv66piO6UhGdpvN8mvqVsLP6UANfXy78uLKdsLTQsk7jEHFKPDD3nidjnjmzsH-jPWbVwDPjwaY1EWN3rNEOPW-jnYDKnWD3sW0OsW9vsWDvnTDkTHTKTHD_nHnKXLYKnHTkn1NKnHTknHmYrT76mHI-nhFBmBYzuH-BsHEYuWnVrj6hPad-mHELPHEQuH-BnHTKTHEKTED1THc_nHEkPzkvnW0vTHDKUMR_UTDLnju6uH7bn19zPhEvP1PB&uniqid=pc5ee10544dc6b92.92580952&region_ids=9&position=5&kwtype=filter&now_time=1591805252
5,浣纱四村 精装双南两房 送20平天井 近黄兴公园 地铁口,340.0,"所属小区：
浣纱四村
房屋户型：
2室 1厅 1卫
房屋单价：
57258 元/m²
所在位置：
杨浦区－ 黄兴－ 浣纱四村1-86号

建筑面积：
59.4平方米
参考首付：
102.00万
建造年代：
1997年
房屋朝向：
南北
参考月供：
15575元
房屋类型：
普通住宅
所在楼层：
低层(共6层)
装修程度：
精装修
产权年限：
70年产权
配套电梯：
有
房本年限：
满五年
产权性质：
商品房
唯一住房：
暂无
一手房源：
否","特色
【房屋品质】小区是1996年-1997年建造，品质很好，一梯两户的为商品房，得房率高，
【附近学校】小区内有回民小学，对口复旦实验中学，鞍山实验中学，都是杨浦区重点学校，中学在安波路和翔殷支路上","不足
小区绿化少，车位比较紧张","房东诚意出售，我们公司就在黄兴公园，看房速约，欲购从速！
介绍：美凯龙爱家代理
一、房源环境
交通：出门就是地铁8号线，多路公交车
环境：买菜，购物方便，附件有医院
：小学、幼儿园非常近
二、户型特点
结构：建筑面积51平，双南，送20平米大天井。
装修：，婚房拎包入住！",浣纱四村,https://shanghai.anjuke.com/prop/view/A5072631191?from=filter&spread=commsearch&invalid=1&click_url=https://lego-click.anjuke.com/jump?target=pZwY0ZnlsztdraOWUvYKuadWm1NLujE1raYdrHE1sHwBujEVrjbOniYQnH03Py76PWnOuWmKnHE3P1mQP9DKnHNkPWbzrH0kn1NOnHb1P9D3njTkTH9knjTKnikQnkDzsjDYnj0KnHNOnH9kPHcdnWEznTDvTNujsRKjsN72iSilWrpFBSpcfSXVhShTBXyc-SB6Jrh6VEDQTHDKTiYQTEDQnWm3rHTkP1b1nHcznjNknjEOTHmKTHDKujTdmvmkmW9VP1F6riYYmH-6syFWrANVn16buy7-nAcvmW9kTHDzPW9OnjTLrHnzPWTYPjbLrHcKnHcvrjbknj0On1D3rHDYPWmzPTDKTEDKTiYKTE7CIZwk01CfsLPCmyOMpA7Gsh78pMRouiOWUvYf0v7_uiqOmyOM0ZNf0jDfTNPKnbDYEH9QsNnkPWcVrNnvridDEYPDsHPaPH9OwjbvrNn1EEDznH98P1b8rjm8nHmkTHTKnTDKnikQnk7exEDQnjT1PEDQnjTQPWE3TH7BnymYnHcvsHIbuHbVPjcvPaY3mhuhsHI6PWIWnWF-mhDkmEDKPTDKTHnKnBkQPjTLsj0YPH9KnE78IyQ_TyN1P16-nHKBujNYPjcdnW0&uniqid=pc5ee10544dc6cb5.03943087&region_ids=9&position=6&kwtype=filter&now_time=1591805252
6,新上盘95年 南北全明两房 一楼带天井 对口打一 中心位置,350.0,"所属小区：
公交新村
房屋户型：
2室 1厅 1卫
房屋单价：
64815 元/m²
所在位置：
杨浦区－ 鞍山－ 阜新路169弄1-16号,阜新路177-187号,四平路...

建筑面积：
54平方米
参考首付：
105.00万
建造年代：
1994年
房屋朝向：
南北
参考月供：
16033元
房屋类型：
普通住宅
所在楼层：
低层(共6层)
装修程度：
精装修
产权年限：
70年产权
配套电梯：
无
房本年限：
满五年
产权性质：
商品房
唯一住房：
是
一手房源：
否","特色
【小区户型】小区4户，多为30-37平一房，46-60平2房，楼间距开阔，采光无遮挡
【小区设施】小区自带地上停车位，篮球场，可供小区居民下班时候休闲娱乐
【生活配套】小区出门50米就是菜市场，150米就是和平公园，200米肯德基，300米就是新华医院，生活配套齐全
【附近学校】小区对口阜新路门号对口公办同济小学，四平路门号对口公办打.虎山路D一小学（简称打一），杨浦区重点小学","不足
小区房龄多为80年代，房龄老","公交新村；位于苏家屯路阜新路路口，94年房龄，两房一厅一卫，南北两房一楼带天井，精装修，小区中心位置的，楼间距宽，采光无遮挡，对口打一的，**没用的，出门阳普菜市场，紧邻地铁8号线鞍山新村站10号线同济大学站，
税费；此房业主名下唯一一套房子，税费相对较少",公交新村,https://shanghai.anjuke.com/prop/view/A5071702541?from=filter&spread=commsearch&invalid=1&click_url=https://lego-click.anjuke.com/jump?target=pZwY0ZnlsztdraOWUvYKuadWm1NLujE1raYdrHE1sHwBujEVrjbOniYQnH03Py76PWnOuWmKnHbvnj0vn9DKnHNkPWmkP1TvnHTOP1ELP9D1nj0knTD1nj0knTDQsjD1THc_nHEkPkDQPHbQrjTdnWNzPjckTH0KwbnVNDnVENGsOsJnOChsOCB4OlvUlmaFOmBgl2AClpAdTHDKnEDKsHDKTHDzPWb3Pj0dnjD1PW9LnWbvnjTKP9DKnE7hn1mkm1uBuidhmWR-sHEQPhEVryEQmzYYP19LuWcznyPbPWEKnHcvrH9YP1NknHNQrH01PW91n9DQnWmOrjELPHTQPjc1nWNdPHNzTEDKTEDKsEDKTy6YIZK1rBtf0v66UhICmyb8myOJIyV-shPfUiq1myQ-sL-6UhIkIiqknitKEYDzEHwKrjDVE1TvnBYOE1mOsNwjEYEVnYcdrj-DrHmOE1PKTHcQra3Lri33PB3QPWTKnTDkTEDQsjD1TgVqTHDknjndTHDknjDvPj9KuWDQmHn3mhEVmycQnzYYnvcYsy7BujcVnAnOn103mymkmHcLTEDYTEDKnkDzsjDYnj0_nHDvnW9KnE78IyQ_THnLPW7hPAPhuAm1nH-WuHb&uniqid=pc5ee10544dc6dd9.25202561&region_ids=9&position=7&kwtype=filter&now_time=1591805252
7,12号线地铁口，2楼，全明户型，南北通透,330.0,"所属小区：
海鹏苑
房屋户型：
1室 2厅 1卫
房屋单价：
52707 元/m²
所在位置：
杨浦区－ 周家嘴路－ 长阳路3031弄

建筑面积：
62.6平方米
参考首付：
99.00万
建造年代：
1997年
房屋朝向：
南
参考月供：
19436元
房屋类型：
普通住宅
所在楼层：
低层(共7层)
装修程度：
简单装修
配套电梯：
无
房本年限：
满三年
产权性质：
商品房
唯一住房：
暂无
一手房源：
否","特色
【小区户型】海鹏苑位于长阳路内江路98年竣工，主力大户型90平米2房2厅1卫，多层1梯2户，得房率高，阳光充足
【生活配套】小区出门右转200米到七巧国超市，200米到复旦商业圈，800米到杨浦公园，1000米到欧尚超市！
【轨道交通】地铁12号线隆昌路站300米","不足
海鹏苑小区里面绿化少","价格优势:房东诚意出售，地铁口精装两房南北通自住免个税，低于小区其他价格
户型描述:主卧朝南，次卧朝北。房子整体保养的很好，可以拎包入住。
其他亮点:小区地理位置不错
租售原因:业主已购新房，非常诚心出售。",海鹏苑,https://shanghai.anjuke.com/prop/view/A5071740665?from=filter&spread=commsearch&invalid=1&click_url=https://lego-click.anjuke.com/jump?target=pZwY0ZnlsztdraOWUvYKuadWm1NLujE1raYdrHE1sHwBujEVrjbOniYQnH03Py76PWnOuWmKnWNdP10QrEDKnHNkPWmQrHn1nj9vPjD1PTD1nWTknTD1nWTknTDQsjD1THc_nHEkPkDQPHbQrjTdnWNzPjckTH9KwbnVNDnVENGsOsJnOChsOCB4OlvUlmaFOmBgl2AClpAdTHDKnEDKsHDKTHDzP1TQPWbYnjmQn1TOnjTOrHcKP9DKnEDdnWcQrH0OnidBrjPBsHwBnjTVmWDknBYkuyw-ujTOnhmdnHNKnHcLnjDvrHEkPWEOrHb3P1EdP9DQnW0knHmOPjTvPjnLnj0zrjbLTEDKTEDKsEDKTy6YIZK1rBtf0v66UhICmyb8myOJIyV-shPfUiq1myQ-sL-6UhIkIiqknitKEYDzEHwKrjDVE1TvnBYOE1mOsNwjEYEVnYcdrj-DrHmOE1PKTHcQra3Lri33PB3QPWTKnTDkTEDQsjD1TgVqTHDknjndTHDknjDvPj9KnHmYrADzP10VPj0LmiYYnv7hsy7BrHNVmHNdPAcLnvD1m1TLTEDYTEDKnkDzsjDYnj0_PWcLrTDQTyOdUAkKuAmOuy7bnyc3nAFhnjKWrT&uniqid=pc5ee10544dc6ed3.04496353&region_ids=9&position=8&kwtype=filter&now_time=1591805252
8,340万 铁岭路50弄小区 南北通透 55平 采光好 周边商,340.0,"所属小区：
铁岭路50弄小区
房屋户型：
2室 0厅 1卫
房屋单价：
61818 元/m²
所在位置：
杨浦区－ 鞍山－ 铁岭路50弄

建筑面积：
55平方米
参考首付：
109.5万
建造年代：
1979年
房屋朝向：
南北
参考月供：
13350元
房屋类型：
普通住宅
所在楼层：
高层(共6层)
装修程度：
简单装修
产权年限：
70年产权
配套电梯：
无
房本年限：
满五年
产权性质：
商品房
唯一住房：
是
一手房源：
否","特色
【生活配套】小区出门就是四平地段医院，300米到紫荆广场新华医院，400米到环球商城
【轨道交通】300米到地铁8号线江浦站，500米到地铁10号线同济大学站。","不足
小区很老，停车位紧张！",1.房型正气，主卧室和客厅全部朝南，客厅餐厅南北通透，全明的边套户型，也是客户喜爱的户型之一电梯房一梯两户，房间的公摊面积小，房间使用面积大2.房子精装修，省去您买装修材料请施工队的费用，所使用的墙壁涂料是全绿色无污染的树胶，家电家具也都是海尔，格力等品牌，如果你不喜欢这个装修也只需要，保留硬装，去除软装，贴个壁纸换点家具就可以可，也不会出现装修打扰邻居的情况。,铁岭路50弄小区,https://shanghai.anjuke.com/prop/view/A5082282591?from=filter&spread=commsearch&invalid=1&click_url=https://lego-click.anjuke.com/jump?target=pZwY0ZnlsztdraOWUvYKuadWm1NLujE1raYdrHE1sHwBujEVrjbOniYQnH03Py76PWnOuWmKPWcQrHNvPkDKnHNQn1EYPHcYPWnzrj9YnED1nj0knTD1nj0knTDQsjD1THc_nHEkPkDQPHbQrjTdnWNzPjckTHbKwbnVNDnVENGsOsJnOChsOCB4OlvUlmaFOmBgl2AClpAdTHDKnEDKsHDKTHDzP1TdPjcLP1DQn1NOP1bdnWTKP9DKnEDkPH9vnHwWnBYdnHTYsHEOrjmVmWmkniYOuynvmWuhuyRhmWDKnHcLnjNYnW0LnHEYPWnLnjnkPTDQnW0kPHEzP10Qn19LPWNknjE3TEDKTEDKsEDKTy6YIZK1rBtf0v66UhICmyb8myOJIyV-shPfUiq1myQ-sL-6UhIkIiqknitKEYDzEHwKrjDVE1TvnBYOE1mOsNwjEYEVnYcdrj-DrHmOE1PKTHcQra3Lri33PB3QPWTKnTDkTEDQsjD1TgVqTHDknjndTHDknjDvPj9KmWmOmHw6mWnVrAEzriYYuWcYsH9Ynj9VuyRbujIhmvcQPjmkTEDYTEDKnkDzsjDYnj0_nHDvnW9KnE78IyQ_TH7WryN1mhndrA7-uyDQPyN&uniqid=pc5ee10544dc70c1.25268887&region_ids=9&position=9&kwtype=filter&now_time=1591805252
9,上理工學区房，南北通风，诚意出售，价格可谈,350.0,"所属小区：
延吉东路131弄小区
房屋户型：
2室 1厅 1卫
房屋单价：
59524 元/m²
所在位置：
杨浦区－ 控江路－ 延吉东路131弄

建筑面积：
58.8平方米
参考首付：
105.00万
建造年代：
1990年
房屋朝向：
南北
参考月供：
16033元
房屋类型：
普通住宅
所在楼层：
中层(共6层)
装修程度：
简单装修
配套电梯：
无
房本年限：
满三年
产权性质：
商品房
唯一住房：
暂无
一手房源：
否","特色
【小区户型】小区建于1987年原建房，都是多层的，面积均在27-55平左右，较为安静，楼层间距30米采光无遮挡，
【轨道交通】出小区西大门就是靖宇东路，通往地铁八号线，延春公园等。 小区侧门均有多路公交车。","不足
小区车位紧张，回来的晚的话，可能就没有了","价格优势:房东诚意出售，上理工學区房，名额未用，南北通自住免个税，低于小区其他价格
户型描述:主卧朝南，次卧朝北。房子整体保养的很好，可以拎包入住。
其他亮点:小区地理位置不错
租售原因:业主已购新房，非常诚心出售。",延吉东路131弄小区,https://shanghai.anjuke.com/prop/view/A5075035356?from=filter&spread=commsearch&invalid=1&click_url=https://lego-click.anjuke.com/jump?target=pZwY0ZnlsztdraOWUvYKuadWm1NLujE1raYdrHE1sHwBujEVrjbOniYQnH03Py76PWnOuWmKnHTQnHc1PHmOTEDQPHT3PjNQPWTznHEYnWmkTHDvnWTkTHDvnWTkTHD_nHnKnBkQPjTLTHDdrHD3njNzPHcYnWTKnHTKwbnVNDnVENGsOsJnOChsOCB4OlvUlmaFOmBgl2AClpAdTHDKnEDKsHDKTHDzP1Tvn1bknj91n1nOPWnzPWEKP9DKnE7BnjDkrHmzPBdbm1ELsHE1ujnVmymLuBYvP1TvnH0OmhDYmHnKnHcLnjm1rHTkrjEdrH0OnWn3PTDQnW0kPWnOnjT3PjTQnj0znHc3TEDKTEDKsEDKTy6YIZK1rBtf0v66UhICmyb8myOJIyV-shPfUiq1myQ-sL-6UhIkIiqknitKEYDzEHwKrjDVE1TvnBYOE1mOsNwjEYEVnYcdrj-DrHmOE1PKTHcQra3Lri33PB3QPWTKnTDkTEDQsjD1TgVqTHDknjndTHDknjDvPj9Kn17BuHRWujnVuW7-riYYnHPbsyc3m19VPAmYnhndrjmYPvFWTEDYTEDKnkDzsjDYnj0_nHEOnEDQTyOdUAkKmhEkmH9duhwWujRBrjPbnk&uniqid=pc5ee10544dc71f3.06073838&region_ids=9&position=10&kwtype=filter&now_time=1591805252
